"Prediction","Ground Truth"
"47.225242614746094","50"
"45.87708282470703","50"
"37.23779296875","45"
"39.69429016113281","42.5"
"39.46309280395508","40"
"36.52719497680664","45"
"36.866512298583984","42.5"
"39.117210388183594","40"
"37.1262321472168","40"
"41.8521842956543","37.5"
"45.599796295166016","37.5"
"48.1934700012207","40"
"36.64461898803711","37.5"
"38.29901885986328","37.5"
"41.11703109741211","40"
"40.355133056640625","40"
"35.299625396728516","35"
"22.84854507446289","25"
"18.48135757446289","20"
"33.19997024536133","35"
"17.852731704711914","25"
"16.45073890686035","20"
"12.931900978088379","17.5"
"10.130878448486328","0"
"6.207818984985352","0"
"7.1442742347717285","0"
"5.074163913726807","0"
"6.375537872314453","0"
"5.569468021392822","0"
"3.9078335762023926","0"
"1.9306210279464722","0"
"1.5224425792694092","0"
"1.427567481994629","0"
"31.150924682617188","22.5"
"31.05720329284668","25"
"27.778257369995117","32.5"
"26.2496337890625","35"
"33.43077850341797","37.5"
"33.265621185302734","42.5"
"29.957820892333984","45"
"31.516887664794922","37.5"
"37.06993865966797","42.5"
"35.60520553588867","45"
"34.06669235229492","47.5"
"30.428451538085938","47.5"
"36.39731216430664","47.5"
"40.67184829711914","47.5"
"35.42204666137695","47.5"
"35.35611343383789","47.5"
"35.90238571166992","47.5"
"31.809696197509766","42.5"
"37.916927337646484","40"
"31.082849502563477","42.5"
"35.9003791809082","42.5"
"32.520233154296875","40"
"36.64345932006836","42.5"
"36.9881706237793","42.5"
"37.932926177978516","42.5"
"39.49871826171875","42.5"
"38.611995697021484","45"
"42.359840393066406","47.5"
"39.93915939331055","42.5"
"36.087158203125","45"
"41.429443359375","47.5"
"37.4373893737793","50"
"35.60150146484375","52.5"
"35.58793640136719","52.5"
"42.63957214355469","52.5"
"45.94742965698242","52.5"
"45.25819778442383","52.5"
"44.16221237182617","52.5"
"43.07120132446289","52.5"
"43.92448043823242","52.5"
"40.55318069458008","52.5"
"34.459022521972656","50"
"43.765750885009766","52.5"
"44.100250244140625","52.5"
"43.65009689331055","50"
"43.356082916259766","47.5"
"39.839168548583984","47.5"
"37.17642593383789","47.5"
"27.433412551879883","42.5"
"37.210506439208984","47.5"
"38.027225494384766","47.5"
"29.9262638092041","42.5"
"24.819978713989258","35"
"20.633033752441406","30"
"17.269384384155273","25"
"17.30902862548828","17.5"
"23.95340347290039","30"
"15.31690788269043","25"
"9.803936004638672","17.5"
"5.399382591247559","0"
"6.054905891418457","0"
"7.292105674743652","0"
"5.125100135803223","0"
"19.183332443237305","17.5"
